Decision,RelativePath,SizeBytes,Status
optional,"bgm/ethereal/Ethereal Music Pack/Stairway (RT 4)/Ethereal Stairway Cut 30.wav",10368080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Stairway (RT 4)/Ethereal Stairway Cut 60.wav",19584080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Stairway (RT 4)/Ethereal Stairway Intensity 1.wav",25728080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Stairway (RT 4)/Ethereal Stairway Intensity 2.wav",25728080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Stairway (RT 4)/Ethereal Stairway Main.wav",25728080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Wind Chime (RT 5.647)/Ethereal Wind Chime Cut 30.wav",11384552,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Wind Chime (RT 5.647)/Ethereal Wind Chime Cut 60.wav",17889968,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Wind Chime (RT 5.647)/Ethereal Wind Chime Intensity 1.wav",27648080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Wind Chime (RT 5.647)/Ethereal Wind Chime Intensity 2.wav",27648080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Wind Chime (RT 5.647)/Ethereal Wind Chime Main.wav",27648080,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Cabin Lunch (RT 2.4)/Fantasy Vol5 Cabin Lunch Cut 30.wav",8987586,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Cabin Lunch (RT 2.4)/Fantasy Vol5 Cabin Lunch Cut 60.wav",17973186,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Cabin Lunch (RT 2.4)/Fantasy Vol5 Cabin Lunch Intensity 1.wav",26958786,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Cabin Lunch (RT 2.4)/Fantasy Vol5 Cabin Lunch Intensity 2.wav",26958786,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Cabin Lunch (RT 2.4)/Fantasy Vol5 Cabin Lunch Main.wav",26958786,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Corsair (RT 3.75)/Fantasy Vol5 Corsair Cut 30.wav",9721980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Corsair (RT 3.75)/Fantasy Vol5 Corsair Cut 60.wav",18361980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Corsair (RT 3.75)/Fantasy Vol5 Corsair Intensity 1.wav",27001980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Corsair (RT 3.75)/Fantasy Vol5 Corsair Intensity 2.wav",27001980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Corsair (RT 3.75)/Fantasy Vol5 Corsair Main.wav",27001980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Dragon Dance (RT 2.286)/Fantasy Vol5 Dragon Dance Cut 30.wav",10040838,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Dragon Dance (RT 2.286)/Fantasy Vol5 Dragon Dance Cut 60.wav",19092270,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Dragon Dance (RT 2.286)/Fantasy Vol5 Dragon Dance Intensity 1.wav",26991696,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Dragon Dance (RT 2.286)/Fantasy Vol5 Dragon Dance Intensity 2.wav",26991696,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Dragon Dance (RT 2.286)/Fantasy Vol5 Dragon Dance Main.wav",26991696,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Fish Bay (RT 4.8)/Fantasy Vol5 Fish Bay Cut 30.wav",10369986,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Fish Bay (RT 4.8)/Fantasy Vol5 Fish Bay Cut 60.wav",18664386,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Fish Bay (RT 4.8)/Fantasy Vol5 Fish Bay Intensity 1.wav",26958786,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Fish Bay (RT 4.8)/Fantasy Vol5 Fish Bay Intensity 2.wav",26958786,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Fish Bay (RT 4.8)/Fantasy Vol5 Fish Bay Main.wav",26958786,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Hang Them (RT 3.692)/Fantasy Vol5 Hang Them Cut 30.wav",9572442,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Hang Them (RT 3.692)/Fantasy Vol5 Hang Them Cut 60.wav",18079524,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Hang Them (RT 3.692)/Fantasy Vol5 Hang Them Intensity 1.wav",26586600,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Hang Them (RT 3.692)/Fantasy Vol5 Hang Them Intensity 2.wav",26586600,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Hang Them (RT 3.692)/Fantasy Vol5 Hang Them Main.wav",26586600,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lonely Bard (RT 3.176)/Fantasy Vol5 Lonely Bard Cut 30.wav",9455160,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lonely Bard (RT 3.176)/Fantasy Vol5 Lonely Bard Cut 60.wav",17993514,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lonely Bard (RT 3.176)/Fantasy Vol5 Lonely Bard Intensity 1.wav",26531868,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lonely Bard (RT 3.176)/Fantasy Vol5 Lonely Bard Intensity 2.wav",26531868,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lonely Bard (RT 3.176)/Fantasy Vol5 Lonely Bard Main.wav",26531868,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lush Gardens (RT 3.75)/Fantasy Vol5 Lush Gardens Cut 30.wav",9721980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lush Gardens (RT 3.75)/Fantasy Vol5 Lush Gardens Cut 60.wav",18361980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lush Gardens (RT 3.75)/Fantasy Vol5 Lush Gardens Intensity 1.wav",27001980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lush Gardens (RT 3.75)/Fantasy Vol5 Lush Gardens Intensity 2.wav",27001980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Lush Gardens (RT 3.75)/Fantasy Vol5 Lush Gardens Main.wav",27001980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/My Kingdom (RT 2.286)/Fantasy Vol5 My Kingdom Cut 30.wav",9876270,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/My Kingdom (RT 2.286)/Fantasy Vol5 My Kingdom Cut 60.wav",17775696,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/My Kingdom (RT 2.286)/Fantasy Vol5 My Kingdom Intensity 1.wav",26991696,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/My Kingdom (RT 2.286)/Fantasy Vol5 My Kingdom Intensity 2.wav",26991696,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/My Kingdom (RT 2.286)/Fantasy Vol5 My Kingdom Main.wav",26991696,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Shields and Spears (RT 2.625)/Fantasy Vol5 Shields and Spears Cut 30.wav",9397980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Shields and Spears (RT 2.625)/Fantasy Vol5 Shields and Spears Cut 60.wav",18037980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Shields and Spears (RT 2.625)/Fantasy Vol5 Shields and Spears Intensity 1.wav",26677980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Shields and Spears (RT 2.625)/Fantasy Vol5 Shields and Spears Intensity 2.wav",26677980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/Shields and Spears (RT 2.625)/Fantasy Vol5 Shields and Spears Main.wav",26677980,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/The Mourning (RT 3.428)/Fantasy Vol5 The Mourning Cut 30.wav",10863696,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/The Mourning (RT 3.428)/Fantasy Vol5 The Mourning Cut 60.wav",18763128,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/The Mourning (RT 3.428)/Fantasy Vol5 The Mourning Intensity 1.wav",28637412,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/The Mourning (RT 3.428)/Fantasy Vol5 The Mourning Intensity 2.wav",28637412,deleted
optional,"bgm/fantasy/Fantasy Music Pack Vol. 5/The Mourning (RT 3.428)/Fantasy Vol5 The Mourning Main.wav",28637412,deleted
optional,"bgm/funk/Funk Music Pack/Big Shot (RT 4.025)/Funk Big Shot Cut 30.wav",10353948,deleted
optional,"bgm/funk/Funk Music Pack/Big Shot (RT 4.025)/Funk Big Shot Cut 60.wav",20114658,deleted
optional,"bgm/funk/Funk Music Pack/Big Shot (RT 4.025)/Funk Big Shot Intensity 1.wav",29579558,deleted
optional,"bgm/funk/Funk Music Pack/Big Shot (RT 4.025)/Funk Big Shot Intensity 2.wav",29579558,deleted
optional,"bgm/funk/Funk Music Pack/Big Shot (RT 4.025)/Funk Big Shot Main.wav",29579560,deleted
optional,"bgm/funk/Funk Music Pack/Dream Machine (RT 4.071)/Funk Dream Machine Cut 30.wav",10507080,deleted
optional,"bgm/funk/Funk Music Pack/Dream Machine (RT 4.071)/Funk Dream Machine Cut 60.wav",18231632,deleted
optional,"bgm/funk/Funk Music Pack/Dream Machine (RT 4.071)/Funk Dream Machine Intensity 1.wav",27192094,deleted
optional,"bgm/funk/Funk Music Pack/Dream Machine (RT 4.071)/Funk Dream Machine Intensity 2.wav",27192088,deleted
optional,"bgm/funk/Funk Music Pack/Dream Machine (RT 4.071)/Funk Dream Machine Main.wav",27192088,deleted
optional,"bgm/funk/Funk Music Pack/Move Your Feet (RT 2.100)/Funk Move Your Feet Cut 30.wav",9691274,deleted
optional,"bgm/funk/Funk Music Pack/Move Your Feet (RT 2.100)/Funk Move Your Feet Cut 60.wav",19034810,deleted
optional,"bgm/funk/Funk Music Pack/Move Your Feet (RT 2.100)/Funk Move Your Feet Intensity 1.wav",28378422,deleted
optional,"bgm/funk/Funk Music Pack/Move Your Feet (RT 2.100)/Funk Move Your Feet Intensity 2.wav",28378422,deleted
optional,"bgm/funk/Funk Music Pack/Move Your Feet (RT 2.100)/Funk Move Your Feet Main.wav",28378422,deleted
optional,"bgm/funk/Funk Music Pack/Nobody Knows (RT 4.091)/Funk Nobody Knows Cut 30.wav",11012648,deleted
optional,"bgm/funk/Funk Music Pack/Nobody Knows (RT 4.091)/Funk Nobody Knows Cut 60.wav",18877610,deleted
optional,"bgm/funk/Funk Music Pack/Nobody Knows (RT 4.091)/Funk Nobody Knows Intensity 1.wav",26427518,deleted
optional,"bgm/funk/Funk Music Pack/Nobody Knows (RT 4.091)/Funk Nobody Knows Intensity 2.wav",26427510,deleted
optional,"bgm/funk/Funk Music Pack/Nobody Knows (RT 4.091)/Funk Nobody Knows Main.wav",26428014,deleted
optional,"bgm/funk/Funk Music Pack/Please Stay (RT 2.100)/Funk Please Stay Cut 30.wav",10383386,deleted
optional,"bgm/funk/Funk Music Pack/Please Stay (RT 2.100)/Funk Please Stay Cut 60.wav",18342698,deleted
optional,"bgm/funk/Funk Music Pack/Please Stay (RT 2.100)/Funk Please Stay Intensity 1.wav",28378424,deleted
optional,"bgm/funk/Funk Music Pack/Please Stay (RT 2.100)/Funk Please Stay Intensity 2.wav",28378422,deleted
optional,"bgm/funk/Funk Music Pack/Please Stay (RT 2.100)/Funk Please Stay Main.wav",28378422,deleted
optional,"bgm/funk/Funk Music Pack/Slow Down (RT 3.000)/Funk Slow Down Cut 30.wav",11032342,deleted
optional,"bgm/funk/Funk Music Pack/Slow Down (RT 3.000)/Funk Slow Down Cut 60.wav",18602318,deleted
optional,"bgm/funk/Funk Music Pack/Slow Down (RT 3.000)/Funk Slow Down Intensity 1.wav",28551484,deleted
optional,"bgm/funk/Funk Music Pack/Slow Down (RT 3.000)/Funk Slow Down Intensity 2.wav",28551484,deleted
optional,"bgm/funk/Funk Music Pack/Slow Down (RT 3.000)/Funk Slow Down Main.wav",28551484,deleted
optional,"bgm/funk/Funk Music Pack/Snare Machine (RT 4.016)/Funk Snare Machine Cut 30.wav",10266270,deleted
optional,"bgm/funk/Funk Music Pack/Snare Machine (RT 4.016)/Funk Snare Machine Cut 60.wav",19357762,deleted
optional,"bgm/funk/Funk Music Pack/Snare Machine (RT 4.016)/Funk Snare Machine Intensity 1.wav",29328998,deleted
optional,"bgm/funk/Funk Music Pack/Snare Machine (RT 4.016)/Funk Snare Machine Intensity 2.wav",29328998,deleted
optional,"bgm/funk/Funk Music Pack/Snare Machine (RT 4.016)/Funk Snare Machine Main.wav",29329006,deleted
optional,"bgm/funk/Funk Music Pack/Sunny Days (RT 2.111)/Funk Sunny Days Cut 30.wav",9889192,deleted
optional,"bgm/funk/Funk Music Pack/Sunny Days (RT 2.111)/Funk Sunny Days Cut 60.wav",19070338,deleted
optional,"bgm/funk/Funk Music Pack/Sunny Days (RT 2.111)/Funk Sunny Days Intensity 1.wav",28957776,deleted
optional,"bgm/funk/Funk Music Pack/Sunny Days (RT 2.111)/Funk Sunny Days Intensity 2.wav",28957776,deleted
optional,"bgm/funk/Funk Music Pack/Sunny Days (RT 2.111)/Funk Sunny Days Main.wav",28957782,deleted
optional,"bgm/funk/Funk Music Pack/The Right One (RT 4.022)/Funk The Right One Cut 30.wav",10619288,deleted
optional,"bgm/funk/Funk Music Pack/The Right One (RT 4.022)/Funk The Right One Cut 60.wav",18877466,deleted
optional,"bgm/funk/Funk Music Pack/The Right One (RT 4.022)/Funk The Right One Intensity 1.wav",26349184,deleted
optional,"bgm/funk/Funk Music Pack/The Right One (RT 4.022)/Funk The Right One Intensity 2.wav",26349180,deleted
optional,"bgm/funk/Funk Music Pack/The Right One (RT 4.022)/Funk The Right One Main.wav",26349184,deleted
optional,"bgm/funk/Funk Music Pack/Wake Up (RT 4.200)/Funk Wake Up Cut 30.wav",9690726,deleted
optional,"bgm/funk/Funk Music Pack/Wake Up (RT 4.200)/Funk Wake Up Cut 60.wav",18688202,deleted
optional,"bgm/funk/Funk Music Pack/Wake Up (RT 4.200)/Funk Wake Up Intensity 1.wav",29069990,deleted
optional,"bgm/funk/Funk Music Pack/Wake Up (RT 4.200)/Funk Wake Up Intensity 2.wav",29069992,deleted
optional,"bgm/funk/Funk Music Pack/Wake Up (RT 4.200)/Funk Wake Up Main.wav",29069990,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Bubblegum (RT 2)/Casual Bubblegum Cut 30.wav",9217972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Bubblegum (RT 2)/Casual Bubblegum Cut 60.wav",17857972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Bubblegum (RT 2)/Casual Bubblegum Intensity 1.wav",26497972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Bubblegum (RT 2)/Casual Bubblegum Intensity 2.wav",26497972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Bubblegum (RT 2)/Casual Bubblegum Main.wav",26497972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Dance Class (RT 4.022)/Casual Dance Class Cut 30.wav",9978694,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Dance Class (RT 4.022)/Casual Dance Class Cut 60.wav",19363462,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Dance Class (RT 4.022)/Casual Dance Class Intensity 1.wav",25815436,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Dance Class (RT 4.022)/Casual Dance Class Intensity 2.wav",25815436,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Dance Class (RT 4.022)/Casual Dance Class Main.wav",25815434,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Field Day (RT 2.057)/Casual Field Day Cut 30.wav",10712174,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Field Day (RT 2.057)/Casual Field Day Cut 60.wav",18263258,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Field Day (RT 2.057)/Casual Field Day Intensity 1.wav",25813646,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Field Day (RT 2.057)/Casual Field Day Intensity 2.wav",25813646,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Field Day (RT 2.057)/Casual Field Day Main.wav",25813646,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Lizards (RT 1.875)/Casual Lizards Cut 30.wav",9181976,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Lizards (RT 1.875)/Casual Lizards Cut 60.wav",17821976,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Lizards (RT 1.875)/Casual Lizards Intensity 1.wav",26461976,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Lizards (RT 1.875)/Casual Lizards Intensity 2.wav",26461976,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Lizards (RT 1.875)/Casual Lizards Main.wav",26461976,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Observatory (RT 7.244)/Casual Observatory Cut 30.wav",10668556,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Observatory (RT 7.244)/Casual Observatory Cut 60.wav",20175748,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Observatory (RT 7.244)/Casual Observatory Intensity 1.wav",30443502,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Observatory (RT 7.244)/Casual Observatory Intensity 2.wav",30443502,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Observatory (RT 7.244)/Casual Observatory Main.wav",30443502,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Pony Ride (RT 2.824)/Casual Pony Ride Cut 30.wav",8946916,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Pony Ride (RT 2.824)/Casual Pony Ride Cut 60.wav",18705034,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Pony Ride (RT 2.824)/Casual Pony Ride Intensity 1.wav",26836798,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Pony Ride (RT 2.824)/Casual Pony Ride Intensity 2.wav",26836798,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Pony Ride (RT 2.824)/Casual Pony Ride Main.wav",26836798,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Shopping (RT 2)/Casual Shopping Cut 30.wav",9793972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Shopping (RT 2)/Casual Shopping Cut 60.wav",19009972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Shopping (RT 2)/Casual Shopping Intensity 1.wav",26497972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Shopping (RT 2)/Casual Shopping Intensity 2.wav",26497972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Shopping (RT 2)/Casual Shopping Main.wav",26497972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Sunset (RT 1.875)/Casual Sunset Cut 30.wav",9181972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Sunset (RT 1.875)/Casual Sunset Cut 60.wav",17821972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Sunset (RT 1.875)/Casual Sunset Intensity 1.wav",26461972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Sunset (RT 1.875)/Casual Sunset Intensity 2.wav",26461972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Sunset (RT 1.875)/Casual Sunset Main.wav",26461972,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Tiki Party (RT 2.095)/Casual Tiki Party Cut 30.wav",8831406,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Tiki Party (RT 2.095)/Casual Tiki Party Cut 60.wav",18331026,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Tiki Party (RT 2.095)/Casual Tiki Party Intensity 1.wav",25795080,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Tiki Party (RT 2.095)/Casual Tiki Party Intensity 2.wav",25795080,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Tiki Party (RT 2.095)/Casual Tiki Party Main.wav",25795078,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Workshop (RT 2.1)/Casual Workshop Cut 30.wav",9429838,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Workshop (RT 2.1)/Casual Workshop Cut 60.wav",17493470,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Workshop (RT 2.1)/Casual Workshop Intensity 1.wav",27572954,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Workshop (RT 2.1)/Casual Workshop Intensity 2.wav",27572954,deleted
optional,"bgm/general/Casual Music Pack Vol. 1/Workshop (RT 2.1)/Casual Workshop Main.wav",27572954,deleted
optional,"card/Cards_Scrolling_001.wav",282488,deleted
optional,"card/Cards_Shuffle_Fast_001.wav",442012,deleted
optional,"card/Card_Placing_001.wav",126252,deleted
optional,"card/Card_Take_001.wav",121832,deleted
optional,"card/FX Boost 001.wav",353822,deleted
optional,"card/FX Discard For Gold 001.wav",442022,deleted
optional,"card/FX_Discard_001.wav",530222,deleted
optional,"card/Small_Coin_Drop_001.wav",304138,deleted
optional,"card/Small_Reward_001.wav",243090,deleted
optional,"card/compressed/Cards_Scrolling_001.ogg",26935,deleted
optional,"card/compressed/Cards_Shuffle_Fast_001.ogg",30022,deleted
optional,"card/compressed/Card_Placing_001.ogg",9807,deleted
optional,"card/compressed/Card_Take_001.ogg",8608,deleted
optional,"card/compressed/FX_Boost_001.ogg",31127,deleted
optional,"card/compressed/FX_Discard_001.ogg",42954,deleted
optional,"card/compressed/FX_Discard_For_Gold_001.ogg",41199,deleted
optional,"card/compressed/SFX_Card_Deal_1.ogg",4171,deleted
optional,"card/compressed/SFX_Card_Draw_1.ogg",3993,deleted
